,track_id,track_name,release_date,length,track_popularity,album_id,album_name,artist_name,acousticness,danceability,energy,instrumentalness,liveness,speechiness,loudness,mode,tempo,time_signature
0,2btKtacOXuMtC9WjcNRvAA,ILYSB,2017-06-30,211149,69,0HiwsXForePsWdIZW6EEkK,LANY,LANY,0.468,0.636,0.623,0.00453,0.351,0.0603,-7.016,1,100.026,4
1,6OcCk1dbAb7XNHsC098oEM,I Quit Drinking,2021-06-09,171200,70,5c5S9cyjHKBQRm1DGU1E8J,I Quit Drinking,Kelsea Ballerini,0.394,0.607,0.418,0.0,0.182,0.0363,-6.997,1,95.002,4
2,0Eqg0CQ7bK3RQIMPw1A7pl,Malibu Nights,2018-10-05,286928,73,6SWmGozzQDUaczHXMuE8Za,Malibu Nights,LANY,0.701,0.559,0.422,1.99e-06,0.0853,0.195,-11.89,1,74.002,4
3,3D110t9ctcoOoylXsc3iR8,Thick And Thin,2018-10-05,212002,68,6SWmGozzQDUaczHXMuE8Za,Malibu Nights,LANY,0.059,0.697,0.551,0.0,0.0762,0.0282,-6.179,0,99.996,4
4,6mXdCcFnPKQznj4CmMRmHC,Mean It,2020-03-06,232853,70,3ZuE680xhR1A4bCFGvL8mi,~how i'm feeling~,Lauv,0.0407,0.747,0.45,0.0,0.17,0.0919,-8.543,1,96.001,4
5,6BZ6pl5bczDc3cMF1kBaOy,pink skies,2016-06-24,185922,68,42jFcn7WDz3hkdkEUUQaM7,kinda,LANY,0.266,0.719,0.631,7.69e-06,0.134,0.0433,-6.616,1,103.968,4
6,0TziqLMlv3abspIvcEmxcY,if this is the last time,2021-02-05,203853,52,6ZsCg58PZj6jFALfiB5ZtX,mama's boy (deluxe),LANY,0.0171,0.566,0.586,0.0,0.202,0.0372,-7.726,1,147.942,4
7,3WZKQtvz5nUiOBBYcQzftX,cowboy in LA,2021-02-05,213800,53,6ZsCg58PZj6jFALfiB5ZtX,mama's boy (deluxe),LANY,0.407,0.624,0.393,0.0,0.118,0.0333,-8.916,1,177.963,4
8,2VMhO32IsyhshnUoKhjCBE,you!,2021-02-05,274013,55,6ZsCg58PZj6jFALfiB5ZtX,mama's boy (deluxe),LANY,0.00648,0.5,0.635,0.00508,0.126,0.0253,-7.53,1,94.0,4
9,22ZcJxQkzIL6EU692kAFWY,cowboy in LA,2020-10-02,213800,62,6tmSIFaEjxAtuYwPq9FaFP,mama's boy,LANY,0.407,0.624,0.393,0.0,0.118,0.0333,-8.916,1,177.963,4
10,2iUXsYOEPhVqEBwsqP70rE,Youngblood,2018-06-15,203417,82,2D0Hi3Jj6RFnpWDcSa0Otu,Youngblood (Deluxe),5 Seconds of Summer,0.0169,0.596,0.854,0.0,0.124,0.463,-5.114,0,120.274,4
11,3NxWJWftvkstyxvb1pZlFo,Teeth,2020-03-27,205502,77,46K4raQPIGem3N031upNj9,CALM,5 Seconds of Summer,0.0437,0.745,0.454,3.47e-06,0.0741,0.0392,-2.986,0,139.007,4
12,1gugDOSMREb34Xo0c1PlxM,She Looks So Perfect,2014-06-27,202496,71,2LkWHNNHgD6BRNeZI2SL1L,5 Seconds Of Summer,5 Seconds of Summer,0.000569,0.494,0.951,0.0,0.327,0.132,-4.237,1,160.025,4
